Order_id,Date,Time
1,2023-01-01,10:27:14
2,2023-01-01,10:32:05
3,2023-01-01,10:50:42
4,2023-01-01,10:57:05
5,2023-01-01,11:41:37
6,2023-01-01,14:21:24
7,2023-01-01,15:23:55
8,2023-01-01,15:38:12
9,2023-01-01,15:46:00
10,2023-01-01,16:29:37
11,2023-01-01,17:15:31
12,2023-01-01,21:12:48
13,2023-01-02,11:01:49
14,2023-01-02,11:38:33
15,2023-01-02,12:25:11
16,2023-01-02,14:52:38
17,2023-01-02,15:58:33
18,2023-01-02,16:46:33
19,2023-01-02,17:11:48
20,2023-01-02,17:44:42
21,2023-01-02,19:41:33
22,2023-01-02,19:43:25
23,2023-01-02,20:10:02
24,2023-01-02,20:25:14
25,2023-01-03,10:41:17
26,2023-01-03,10:45:33
27,2023-01-03,11:25:20
28,2023-01-03,13:44:34
29,2023-01-03,13:58:34
30,2023-01-03,14:00:57
31,2023-01-03,14:36:43
32,2023-01-03,15:21:56
33,2023-01-03,16:33:22
34,2023-01-03,18:07:43
35,2023-01-03,20:33:55
36,2023-01-03,20:38:07
37,2023-01-04,10:24:51
38,2023-01-04,13:26:57
39,2023-01-04,13:35:58
40,2023-01-04,14:08:05
41,2023-01-04,14:11:47
42,2023-01-04,15:29:10
43,2023-01-04,15:56:59
44,2023-01-04,16:28:39
45,2023-01-04,17:20:08
46,2023-01-04,18:12:47
47,2023-01-04,20:05:28
48,2023-01-04,21:54:59
49,2023-01-05,10:05:54
50,2023-01-05,10:31:22
51,2023-01-05,11:27:42
52,2023-01-05,11:54:00
53,2023-01-05,14:00:24
54,2023-01-05,16:07:56
55,2023-01-05,18:30:40
56,2023-01-05,18:34:32
57,2023-01-05,18:45:46
58,2023-01-05,19:54:03
59,2023-01-05,20:59:40
60,2023-01-05,21:03:32
61,2023-01-06,10:04:49
62,2023-01-06,11:49:16
63,2023-01-06,12:13:08
64,2023-01-06,12:38:13
65,2023-01-06,14:04:57
66,2023-01-06,15:06:19
67,2023-01-06,15:28:03
68,2023-01-06,16:13:30
69,2023-01-06,17:30:32
70,2023-01-06,21:15:36
71,2023-01-06,21:17:13
72,2023-01-06,21:39:01
73,2023-01-07,10:22:35
74,2023-01-07,11:04:09
75,2023-01-07,13:53:23
76,2023-01-07,14:32:01
77,2023-01-07,14:52:27
78,2023-01-07,15:58:14
79,2023-01-07,17:00:50
80,2023-01-07,18:24:19
81,2023-01-07,18:36:15
82,2023-01-07,18:50:45
83,2023-01-07,19:50:51
84,2023-01-07,21:57:36
85,2023-01-08,11:33:52
86,2023-01-08,11:48:58
87,2023-01-08,11:53:15
88,2023-01-08,12:05:25
89,2023-01-08,13:59:37
90,2023-01-08,14:44:02
91,2023-01-08,15:56:14
92,2023-01-08,17:15:26
93,2023-01-08,17:56:56
94,2023-01-08,18:20:18
95,2023-01-08,18:57:14
96,2023-01-08,21:08:58
97,2023-01-09,11:15:05
98,2023-01-09,12:11:33
99,2023-01-09,13:32:56
100,2023-01-09,14:10:53
101,2023-01-09,15:00:39
102,2023-01-09,16:55:19
103,2023-01-09,17:12:05
104,2023-01-09,18:28:31
105,2023-01-09,20:29:03
106,2023-01-09,20:42:25
107,2023-01-09,21:15:47
108,2023-01-09,21:43:20
109,2023-01-10,11:23:20
110,2023-01-10,12:49:22
111,2023-01-10,13:09:24
112,2023-01-10,13:35:16
113,2023-01-10,15:43:01
114,2023-01-10,15:54:41
115,2023-01-10,16:21:01
116,2023-01-10,16:59:09
117,2023-01-10,18:23:56
118,2023-01-10,20:26:51
119,2023-01-10,20:42:40
120,2023-01-10,21:21:32
121,2023-01-11,11:18:06
122,2023-01-11,11:27:33
123,2023-01-11,13:17:09
124,2023-01-11,15:43:17
125,2023-01-11,16:54:17
126,2023-01-11,17:22:27
127,2023-01-11,18:44:30
128,2023-01-11,19:00:28
129,2023-01-11,20:02:48
130,2023-01-11,20:28:14
131,2023-01-11,20:53:39
132,2023-01-11,21:30:23
133,2023-01-12,11:09:49
134,2023-01-12,11:35:13
135,2023-01-12,11:36:28
136,2023-01-12,13:40:09
137,2023-01-12,13:42:13
138,2023-01-12,13:44:08
139,2023-01-12,15:23:02
140,2023-01-12,15:43:39
141,2023-01-12,16:22:41
142,2023-01-12,18:32:12
143,2023-01-12,19:11:52
144,2023-01-12,21:56:44
145,2023-01-13,10:21:43
146,2023-01-13,11:29:23
147,2023-01-13,11:29:42
148,2023-01-13,12:54:05
149,2023-01-13,13:16:43
150,2023-01-13,13:30:35
151,2023-01-13,14:37:21
152,2023-01-13,15:01:34
153,2023-01-13,15:34:52
154,2023-01-13,15:53:00
155,2023-01-13,17:02:38
156,2023-01-13,21:28:03
157,2023-01-14,10:45:58
158,2023-01-14,10:53:58
159,2023-01-14,10:56:43
160,2023-01-14,11:15:30
161,2023-01-14,12:20:46
162,2023-01-14,15:05:48
163,2023-01-14,16:14:37
164,2023-01-14,16:27:08
165,2023-01-14,18:29:41
166,2023-01-14,18:48:14
167,2023-01-14,21:12:09
168,2023-01-14,21:28:29
169,2023-01-15,12:00:22
170,2023-01-15,12:29:52
171,2023-01-15,13:15:19
172,2023-01-15,13:41:47
173,2023-01-15,13:44:39
174,2023-01-15,14:16:59
175,2023-01-15,17:09:07
176,2023-01-15,17:27:39
177,2023-01-15,18:04:59
178,2023-01-15,18:43:57
179,2023-01-15,20:33:22
180,2023-01-15,21:33:36
181,2023-01-16,11:31:14
182,2023-01-16,11:42:12
183,2023-01-16,12:31:26
184,2023-01-16,12:45:13
185,2023-01-16,12:51:10
186,2023-01-16,13:57:13
187,2023-01-16,15:30:05
188,2023-01-16,17:03:38
189,2023-01-16,17:07:59
190,2023-01-16,18:55:14
191,2023-01-16,18:55:55
192,2023-01-16,19:43:41
193,2023-01-17,11:27:08
194,2023-01-17,11:32:17
195,2023-01-17,13:39:03
196,2023-01-17,13:52:59
197,2023-01-17,14:13:03
198,2023-01-17,17:47:59
199,2023-01-17,17:50:20
200,2023-01-17,18:14:24
201,2023-01-17,19:10:17
202,2023-01-17,19:19:34
203,2023-01-17,19:56:06
204,2023-01-17,21:21:38
205,2023-01-18,10:24:03
206,2023-01-18,10:30:13
207,2023-01-18,12:32:30
208,2023-01-18,12:44:43
209,2023-01-18,12:50:03
210,2023-01-18,15:04:50
211,2023-01-18,16:32:05
212,2023-01-18,17:41:03
213,2023-01-18,18:31:32
214,2023-01-18,20:04:31
215,2023-01-18,21:32:37
216,2023-01-18,21:58:30
217,2023-01-19,10:12:35
218,2023-01-19,12:10:59
219,2023-01-19,12:41:45
220,2023-01-19,12:44:01
221,2023-01-19,13:05:10
222,2023-01-19,13:12:06
223,2023-01-19,13:12:31
224,2023-01-19,13:19:31
225,2023-01-19,15:11:30
226,2023-01-19,18:25:35
227,2023-01-19,18:54:48
228,2023-01-19,20:51:41
229,2023-01-20,10:52:21
230,2023-01-20,13:02:49
231,2023-01-20,13:21:11
232,2023-01-20,15:00:38
233,2023-01-20,16:22:00
234,2023-01-20,16:34:01
235,2023-01-20,16:49:54
236,2023-01-20,19:49:19
237,2023-01-20,20:11:45
238,2023-01-20,20:17:15
239,2023-01-20,20:29:09
240,2023-01-20,20:55:31
241,2023-01-21,11:52:34
242,2023-01-21,12:48:30
243,2023-01-21,13:15:14
244,2023-01-21,15:05:52
245,2023-01-21,15:07:01
246,2023-01-21,15:43:37
247,2023-01-21,16:20:41
248,2023-01-21,17:53:23
249,2023-01-21,18:12:38
250,2023-01-21,18:35:13
251,2023-01-21,19:08:32
252,2023-01-21,20:08:52
253,2023-01-22,10:13:59
254,2023-01-22,11:47:58
255,2023-01-22,13:04:26
256,2023-01-22,13:52:11
257,2023-01-22,14:46:24
258,2023-01-22,15:17:22
259,2023-01-22,15:31:16
260,2023-01-22,17:54:08
261,2023-01-22,19:50:29
262,2023-01-22,20:06:04
263,2023-01-22,20:14:57
264,2023-01-22,20:33:38
265,2023-01-23,10:13:09
266,2023-01-23,10:23:53
267,2023-01-23,10:45:47
268,2023-01-23,11:16:24
269,2023-01-23,12:57:47
270,2023-01-23,13:01:48
271,2023-01-23,14:39:04
272,2023-01-23,14:46:02
273,2023-01-23,14:56:54
274,2023-01-23,15:55:54
275,2023-01-23,18:35:02
276,2023-01-23,20:13:40
277,2023-01-24,11:13:18
278,2023-01-24,11:49:35
279,2023-01-24,12:24:06
280,2023-01-24,15:06:25
281,2023-01-24,15:29:53
282,2023-01-24,16:10:26
283,2023-01-24,19:18:43
284,2023-01-24,19:30:10
285,2023-01-24,20:09:38
286,2023-01-24,20:11:17
287,2023-01-24,20:54:09
288,2023-01-24,21:47:29
289,2023-01-25,10:35:34
290,2023-01-25,10:39:55
291,2023-01-25,10:53:50
292,2023-01-25,13:58:22
293,2023-01-25,14:03:49
294,2023-01-25,14:33:13
295,2023-01-25,15:00:22
296,2023-01-25,16:37:49
297,2023-01-25,16:54:26
298,2023-01-25,19:12:23
299,2023-01-25,19:29:44
300,2023-01-25,21:21:37
301,2023-01-26,10:55:29
302,2023-01-26,10:57:02
303,2023-01-26,11:18:19
304,2023-01-26,12:25:09
305,2023-01-26,12:39:37
306,2023-01-26,12:58:00
307,2023-01-26,13:10:05
308,2023-01-26,18:32:25
309,2023-01-26,18:55:31
310,2023-01-26,19:21:44
311,2023-01-26,19:43:01
312,2023-01-26,21:22:40
313,2023-01-27,10:50:50
